"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gask1b",235.431840641132,-0.253302097910511,0.12395352481229,-2.04352476699716,0.0410005182033918,0.796588076285628
"Yrdc",109.266990954143,-0.341831404599563,0.167578245047435,-2.03983162911631,0.0413670983819617,0.796588076285628
"Tardbp",133.367379029471,0.297500768479567,0.145380458053289,2.0463600986215,0.0407209547977235,0.796588076285628
"Aldh2",99.385678565113,0.342973309496311,0.168298394872154,2.03788817924762,0.041561117023598,0.796588076285628
"Cdt1",75.3270015986912,0.388317247638696,0.189720235074106,2.04678877552,0.040678828226235,0.796588076285628
"Tns3",57.1335177293467,0.439248550365699,0.215458940339829,2.03866476681312,0.0414834964401934,0.796588076285628
"Zfp36l1",77.4403982945952,0.405212820941824,0.198700444022564,2.03931512551531,0.0414185870199743,0.796588076285628
"Pbx1",54.4940708307943,0.44782297329511,0.220458729702808,2.03132338600882,0.0422222005737789,0.79786083243878
"Paip1",85.6481782191701,0.38404337484525,0.188903520109955,2.03301333199991,0.0420511760860091,0.79786083243878
"Polr2g",130.03701761666,-0.335943630254981,0.165094469144535,-2.03485696398995,0.0418652673640448,0.79786083243878
"Casp6",43.0747188797183,0.488530724125848,0.24086291090321,2.02825218002187,0.0425345168076517,0.800006682947654
"Prkar1a",301.297801114587,-0.233993042853694,0.115490686488623,-2.0260771666358,0.0427568775551801,0.800448521672557
"Rchy1",48.1243531494326,0.528399110248,0.264367276461641,1.99873114902959,0.0456374508362364,0.850420090814127
"Cisd1",224.54587001448,-0.243133028129914,0.122082547720139,-1.9915461519305,0.0464208766221075,0.858687555205989
"Malat1",464.535362827671,0.285803850075318,0.14356553663534,1.99075527994763,0.0465077980210946,0.858687555205989
"Eif3j1",147.996019485129,-0.291338963826183,0.147136895205093,-1.98005376843168,0.0476974872457617,0.862440474277281
"Chchd4",90.7466020636661,-0.376281421823027,0.19010848300451,-1.97929842938204,0.0477824163388406,0.862440474277281
"Stx4a",47.6461066970912,0.492428143361939,0.248708313928016,1.97994242968678,0.0477099980138775,0.862440474277281
"Cnot1",60.4195621449521,0.473035760893739,0.238815162942267,1.98076099970292,0.0476180823732086,0.862440474277281
"Tpm1",986.568719797071,-0.159813296073629,0.0806673520459981,-1.98113973026536,0.0475756058501029,0.862440474277281
"Set",697.021233814648,-0.146851120358945,0.074547145345631,-1.96990937316356,0.0488487580098753,0.875921413505715
"Nfic",129.601371532596,-0.30690948554516,0.15602850975892,-1.96700901661732,0.0491821712924948,0.875921413505715
"Timp2",816.00379103664,0.171099240593547,0.0869586647305175,1.96759277668049,0.0491149115198006,0.875921413505715
"Ubl4a",91.3913267762108,-0.38744319013604,0.197210559530296,-1.96461685955777,0.0494585991433884,0.876964147806778
"Pkm",114.153340034023,0.296895475187338,0.151619369392444,1.95816323717102,0.0502108613857101,0.886227903810457
"Cers5",45.4494511549855,-0.501940852563759,0.256567255834656,-1.95637144315576,0.0504214136577875,0.886227903810457
"Sox9",54.1868498990575,0.525395514197495,0.269116722405797,1.95229605020701,0.0509030661347956,0.890803657358924
"Zrsr2",61.0605152345653,-0.429738526390947,0.220362709506817,-1.95014177921811,0.0511592227974297,0.891410700258245
"Wls",46.262698037057,0.48113511739729,0.247332115177235,1.94529981297623,0.0517389046320836,0.893772923365392
"Wdr1",109.858416911665,-0.315582596576065,0.162128653035362,-1.94649490184337,0.0515953197493254,0.893772923365392
"Gnb4",69.4817211881055,0.390036413224722,0.200913803176156,1.94131217994389,0.0522204230577964,0.894413628968641
"Oxct1",165.581391047654,0.255221337057245,0.131384768353053,1.94254889860157,0.0520706863273691,0.894413628968641
"Tmem248",85.2419569399096,-0.376455577973205,0.194566802426598,-1.93483972228626,0.0530099669537445,0.900137153320215
"Irak1bp1",57.7062292969862,-0.427528180759614,0.221163463739843,-1.93308683780844,0.053225501239804,0.900137153320215
"Cyrib",151.678402146911,-0.309862305813355,0.160223670328617,-1.933935885864,0.0531210112345124,0.900137153320215
"Eef1d",1012.06314958662,-0.128079106583937,0.0665685023864649,-1.92401964881787,0.0543521206187703,0.915344290755442
"Csnk1a1",192.891514763011,0.248505225736,0.129287098151777,1.92211929332861,0.0545907489412385,0.915532352035353
"Hells",260.251826148236,-0.264038384676643,0.137586928820425,-1.9190659093878,0.0549759931589787,0.9181675206012
